32;66df416aaac9933d3b22b014ced625e7;19.07.2016;15:55:30;1;TUM-09;Deutschland;Baden-WÅrttemberg;Rems-Murr-Kreis, Kreis, Sitz: Waiblingen;94;
33;d9b72738742ac3d1038b88256251bfdb;19.07.2016;15:55:32;1;TUM-09;Deutschland;Baden-WÅrttemberg;Biberach/Ri·, Kreis;95;
34;305c25f9fbb4d0d998232b19059c590f;19.07.2016;15:55:35;1;TUM-09;Deutschland;Baden-WÅrttemberg;Bîblingen, Kreis;95;
2998;21b106a21d10478d60ebf242f0b24759;19.07.2016;15:55:40;1;TUM-01;Deutschland;;;82;
2999;248259582f86465a12667566e35a846f;19.07.2016;15:55:42;1;TUM-01;Deutschland;Bayern;MÅnchen, Stadt und Kreis;85;
35;ef9858b47c617403744eb6a733355a16;19.07.2016;15:55:46;1;TUM-09;-;;;82;
3000;4f6826a0ed29169740726ece6886e992;19.07.2016;15:55:52;1;TUM-01;Deutschland;Bayern;Neu-Ulm, Kreis;90;
36;e11711f5b9a85bd30c71d3345b1c3133;19.07.2016;15:55:54;1;TUM-09;Deutschland;Hessen;Bergstra·e, Kreis, Sitz: Heppenheim/Bergstra·e;94;
37;4a95c6ddb3f8b1f3584112b6fd425351;19.07.2016;15:56:00;1;TUM-09;Deutschland;Bayern;Neu-Ulm, Kreis;93;
3001;c9d57446dd48acb06b8f3039510130d6;19.07.2016;15:56:08;1;TUM-01;-;;;83;
38;dce1688500e43e8db8d84eb4bff3a56d;19.07.2016;15:56:21;1;TUM-09;Deutschland;Baden-WÅrttemberg;Ludwigsburg, Kreis;92;
39;630e65acbab156c408d4489edfbe9333;19.07.2016;15:56:26;1;TUM-09;Deutschland;Baden-WÅrttemberg;Rems-Murr-Kreis, Kreis, Sitz: Waiblingen;92;
40;2fcbbec25398eec52914e5e67ba7f1c2;19.07.2016;15:56:29;1;TUM-09;-;;;86;
3002;dc83cced6b5e58026660454e88c61dff;19.07.2016;15:56:37;1;TUM-01;Deutschland;Baden-WÅrttemberg;Ulm, Stadt und Alb-Donau-Kreis, Kreis, Sitz: Ulm;87;
41;1a2e59cdcfc05ffeed6641e41cf7634c;19.07.2016;15:56:38;1;TUM-09;Deutschland;;;92;
3003;11b8f4a3dbd8986fe07ca66a1453db24;19.07.2016;15:56:41;1;TUM-01;Deutschland;Bayern;NÅrnberg, Stadt;91;
3004;e65443d8f7eb4dd027e5a891cc47da11;19.07.2016;15:56:44;1;TUM-01;Deutschland;Niedersachsen;Salzgitter, Stadt;65;
42;c4ad66d6cb02d50ce47c9fea2cc66b8f;19.07.2016;15:56:48;1;TUM-09;-;;;85;
43;a4c2934aaec88c94165b6534fe84e1f1;19.07.2016;15:56:50;1;TUM-09;-;;;86;
44;3affa120a3033225adba785f271119ca;19.07.2016;15:56:53;1;TUM-09;-;;;88;
45;01f1b458d93ba837f1ba496abf792a3b;19.07.2016;15:56:59;1;TUM-09;Deutschland;Baden-WÅrttemberg;Karlsruhe, Stadt und Kreis;93;
46;883a46e41efadb5b7cad97c627f2192a;19.07.2016;15:57:01;1;TUM-09;Deutschland;Baden-WÅrttemberg;Gîppingen, Kreis;93;
47;7fde18849b1b20c4d2ffaabf3ea59aeb;19.07.2016;15:57:04;1;TUM-09;Deutschland;Baden-WÅrttemberg;Main-Tauber-Kreis, Kreis, Sitz: Tauberbischofsheim;85;
48;188ef3e114123c007e51edbed1b06f8e;19.07.2016;15:57:06;1;TUM-09;Deutschland;Baden-WÅrttemberg;Ulm, Stadt und Alb-Donau-Kreis, Kreis, Sitz: Ulm;82;
49;5297117bfacc238e68d0a17bac55cb29;19.07.2016;15:57:10;1;TUM-09;-;;;86;
50;435db55270115b5553e8216d669f565c;19.07.2016;15:57:16;1;TUM-09;Deutschland;Bayern;Weilheim-Schongau. Kreis, Sitz: Weilheim/Oberbayern;94;
51;bf2589038d9308d096f513e343edc9b3;19.07.2016;15:57:19;1;TUM-09;Deutschland;Baden-WÅrttemberg;Heidenheim/Brenz, Kreis;87;
52;af219b22d51ddc6b7c84c9f5d7d08cfd;19.07.2016;15:57:22;1;TUM-09;-;;;86;
3005;3e554947a72833fdd9e0a671de70bb7a;19.07.2016;15:57:33;1;TUM-01;Deutschland;Bayern;Augsburg, Stadt und Kreis;86;
53;738a5ee074a61239bf42a5cf6be31f41;19.07.2016;15:57:34;1;TUM-09;Deutschland;Baden-WÅrttemberg;Ulm, Stadt und Alb-Donau-Kreis, Kreis, Sitz: Ulm;92;
54;16888333a3eac54195675223a10a7974;19.07.2016;15:57:35;1;TUM-09;Deutschland;Baden-WÅrttemberg;Reutlingen, Kreis;93;
55;bd875c01941eeb12471788ef49e72390;19.07.2016;15:57:40;1;TUM-09;Deutschland;Nordrhein-Westfalen;Rhein-Erft-Kreis, Kreis, Sitz: Bergheim;94;
56;156e7a21a560ac890de5900d88ab604c;19.07.2016;15:57:43;1;TUM-09;Deutschland;Baden-WÅrttemberg;Gîppingen, Kreis;93;
